param sigma
1 36 10.12
1 37 10.86
1 38 11.76
1 39 12.72
1 40 13.70
1 41 14.70
1 42 15.70
1 43 16.70
1 44 17.70
1 45 18.70
1 46 19.70
1 47 20.71
1 48 21.73
1 49 22.78
1 50 23.87
1 51 25.17
1 52 26.38
1 53 15.22
2 1 8.63
2 2 0.00
2 3 1.41
2 4 2.61
2 5 3.70
2 6 4.73
2 7 5.71
2 8 6.66
2 9 7.59
2 10 8.51
2 11 9.41
2 12 10.31
2 13 11.21
2 14 12.12
2 15 13.04
2 16 14.00
2 17 15.13
2 18 16.29
2 19 5.58
2 20 6.45
2 21 7.18
2 22 7.84
2 23 8.47
2 24 9.07
2 25 9.66
2 26 10.23
2 27 10.80
2 28 11.36
2 29 11.91
2 30 12.45
2 31 12.98
2 32 13.49
2 33 13.96
2 34 14.28
2 35 15.04
2 36 5.58
2 37 6.99
2 38 8.18
2 39 9.27
2 40 10.27
2 41 11.21
2 42 12.12
2 43 12.99
2 44 13.84
2 45 14.66
2 46 15.47
2 47 16.26
2 48 17.03
2 49 17.79
2 50 18.53
2 51 19.23
2 52 20.16
2 53 7.29
3 1 7.52
3 2 1.41
3 3 0.00
3 4 1.21
3 5 2.32
3 6 3.36
3 7 4.37
3 8 5.35
3 9 6.31
3 10 7.25
3 11 8.19
3 12 9.13
3 13 10.07
3 14 11.02
3 15 12.00
3 16 13.04
3 17 14.31
3 18 15.54
3 19 6.99
3 20 7.83
3 21 8.51
3 22 9.11
3 23 9.66
3 24 10.19
3 25 10.70
3 26 11.20
3 27 11.68
3 28 12.16
3 29 12.62
3 30 13.07
3 31 13.50
3 32 13.89
3 33 14.23
3 34 14.34
3 35 14.97
3 36 6.45
3 37 7.83
3 38 9.04
3 39 10.14
3 40 11.18
3 41 12.16
3 42 13.10
3 43 14.01
3 44 14.89
3 45 15.74
3 46 16.59
3 47 17.41
3 48 18.22
3 49 19.02
3 50 19.80
3 51 20.56
3 52 21.51
3 53 8.70
4 1 6.50
4 2 2.61
4 3 1.21
4 4 0.00
4 5 1.11
4 6 2.17
4 7 3.19
4 8 4.18
4 9 5.16
4 10 6.12
4 11 7.08
4 12 8.04
4 13 9.01
4 14 10.00
4 15 11.02
4 16 12.12
4 17 13.50
4 18 14.78
4 19 8.18
4 20 9.04
4 21 9.71
4 22 10.29
4 23 10.81
4 24 11.30
4 25 11.77
4 26 12.22
4 27 12.66
4 28 13.08
4 29 13.48
4 30 13.86
4 31 14.22
4 32 14.54
4 33 14.77
4 34 14.71
4 35 15.23
4 36 7.18
4 37 8.51
4 38 9.71
4 39 10.82
4 40 11.87
4 41 12.87
4 42 13.84
4 43 14.77
4 44 15.68
4 45 16.57
4 46 17.44
4 47 18.29
4 48 19.14
4 49 19.97
4 50 20.79
4 51 21.62
4 52 22.60
4 53 9.89
5 1 5.54
5 2 3.70
5 3 2.32
5 4 1.11
5 5 0.00
5 6 1.06
5 7 2.09
5 8 3.09
5 9 4.07
5 10 5.05
5 11 6.03
5 12 7.01
5 13 8.00
5 14 9.01
5 15 10.07
5 16 11.21
5 17 12.69
5 18 14.01
5 19 9.26
5 20 10.14
5 21 10.82
5 22 11.40
5 23 11.91
5 24 12.39
5 25 12.84
5 26 13.26
5 27 13.66
5 28 14.05
5 29 14.41
5 30 14.75
5 31 15.05
5 32 15.31
5 33 15.46
5 34 15.27
5 35 15.70
5 36 7.84
5 37 9.11
5 38 10.29
5 39 11.40
5 40 12.46
5 41 13.47
5 42 14.46
5 43 15.41
5 44 16.34
5 45 17.25
5 46 18.15
5 47 19.03
5 48 19.91
5 49 20.77
5 50 21.64
5 51 22.53
5 52 23.54
5 53 10.96
6 1 4.61
6 2 4.73
6 3 3.36
6 4 2.17
6 5 1.06
6 6 0.00
6 7 1.03
6 8 2.04
6 9 3.03
6 10 4.02
6 11 5.01
6 12 6.00
6 13 7.01
6 14 8.04
6 15 9.13
6 16 10.31
6 17 11.87
6 18 13.23
6 19 10.27
6 20 11.18
6 21 11.87
6 22 12.46
6 23 12.97
6 24 13.45
6 25 13.88
6 26 14.29
6 27 14.68
6 28 15.04
6 29 15.37
6 30 15.68
6 31 15.95
6 32 16.16
6 33 16.25
6 34 15.95
6 35 16.31
6 36 8.47
6 37 9.66
6 38 10.81
6 39 11.91
6 40 12.97
6 41 14.00
6 42 14.99
6 43 15.97
6 44 16.92
6 45 17.85
6 46 18.77
6 47 19.68
6 48 20.58
6 49 21.48
6 50 22.38
6 51 23.33
6 52 24.38
6 53 11.95
7 1 3.72
7 2 5.71
7 3 4.37
7 4 3.19
7 5 2.09
7 6 1.03
7 7 0.00
7 8 1.01
7 9 2.01
7 10 3.00
7 11 4.00
7 12 5.01
7 13 6.03
7 14 7.08
7 15 8.19
7 16 9.41
7 17 11.05
7 18 12.44
7 19 11.21
7 20 12.16
7 21 12.87
7 22 13.47
7 23 14.00
7 24 14.47
7 25 14.91
7 26 15.31
7 27 15.69
7 28 16.04
7 29 16.36
7 30 16.64
7 31 16.88
7 32 17.06
7 33 17.11
7 34 16.73
7 35 17.02
7 36 9.07
7 37 10.19
7 38 11.30
7 39 12.39
7 40 13.45
7 41 14.47
7 42 15.48
7 43 16.46
7 44 17.43
7 45 18.38
7 46 19.32
7 47 20.25
7 48 21.18
7 49 22.11
7 50 23.05
7 51 24.07
7 52 25.14
7 53 12.88
8 1 2.86
8 2 6.66
8 3 5.35
8 4 4.18
8 5 3.09
8 6 2.04
8 7 1.01
8 8 0.00
8 9 1.00
8 10 2.00
8 11 3.00
8 12 4.02
8 13 5.05
8 14 6.12
8 15 7.25
8 16 8.51
8 17 10.22
8 18 11.64
8 19 12.12
8 20 13.10
8 21 13.84
8 22 14.46
8 23 14.99
8 24 15.48
8 25 15.92
8 26 16.32
8 27 16.70
8 28 17.04
8 29 17.35
8 30 17.62
8 31 17.84
8 32 17.99
8 33 18.01
8 34 17.57
8 35 17.81
8 36 9.66
8 37 10.70
8 38 11.77
8 39 12.84
8 40 13.88
8 41 14.91
8 42 15.92
8 43 16.91
8 44 17.89
8 45 18.86
8 46 19.81
8 47 20.77
8 48 21.72
8 49 22.68
8 50 23.66
8 51 24.74
8 52 25.84
8 53 13.77
9 1 2.08
9 2 7.59
9 3 6.31
9 4 5.16
9 5 4.07
9 6 3.03
9 7 2.01
9 8 1.00
9 9 0.00
9 10 1.00
9 11 2.01
9 12 3.03
9 13 4.07
9 14 5.16
9 15 6.31
9 16 7.59
9 17 9.38
9 18 10.82
9 19 12.99
9 20 14.01
9 21 14.77
9 22 15.41
9 23 15.97
9 24 16.46
9 25 16.91
9 26 17.32
9 27 17.70
9 28 18.04
9 29 18.34
9 30 18.61
9 31 18.82
9 32 18.96
9 33 18.95
9 34 18.46
9 35 18.66
9 36 10.23
9 37 11.20
9 38 12.22
9 39 13.26
9 40 14.29
9 41 15.31
9 42 16.32
9 43 17.32
9 44 18.31
9 45 19.29
9 46 20.26
9 47 21.24
9 48 22.21
9 49 23.20
9 50 24.21
9 51 25.35
9 52 26.49
9 53 14.62
10 1 1.49
10 2 8.51
10 3 7.25
10 4 6.12
10 5 5.05
10 6 4.02
10 7 3.00
10 8 2.00
10 9 1.00
10 10 0.00
10 11 1.01
10 12 2.04
10 13 3.09
10 14 4.18
10 15 5.35
10 16 6.66
10 17 8.52
10 18 9.97
10 19 13.84
10 20 14.89
10 21 15.68
10 22 16.34
10 23 16.92
10 24 17.43
10 25 17.89
10 26 18.31
10 27 18.69
10 28 19.04
10 29 19.35
10 30 19.61
10 31 19.82
10 32 19.95
10 33 19.93
10 34 19.40
10 35 19.57
10 36 10.80
10 37 11.68
10 38 12.66
10 39 13.66
10 40 14.68
10 41 15.69
10 42 16.70
10 43 17.70
10 44 18.69
10 45 19.68
10 46 20.67
10 47 21.66
10 48 22.66
10 49 23.67
10 50 24.72
10 51 25.92
10 52 27.09
10 53 15.44
11 1 1.36
11 2 9.41
11 3 8.19
11 4 7.08
11 5 6.03
11 6 5.01
11 7 4.00
11 8 3.00
11 9 2.01
11 10 1.01
11 11 0.00
11 12 1.03
11 13 2.09
11 14 3.19
11 15 4.37
11 16 5.71
11 17 7.63
11 18 9.10
11 19 14.66
11 20 15.75
11 21 16.57
11 22 17.25
11 23 17.85
11 24 18.38
11 25 18.86
11 26 19.29
11 27 19.68
11 28 20.04
11 29 20.35
11 30 20.62
11 31 20.83
11 32 20.95
11 33 20.93
11 34 20.38
11 35 20.53
11 36 11.36
11 37 12.16
11 38 13.08
11 39 14.05
11 40 15.04
11 41 16.04
11 42 17.04
11 43 18.04
11 44 19.04
11 45 20.04
11 46 21.04
11 47 22.04
11 48 23.06
11 49 24.10
11 50 25.18
11 51 26.45
11 52 27.64
11 53 16.24
12 1 1.82
12 2 10.31
12 3 9.13
12 4 8.04
12 5 7.01
12 6 6.00
12 7 5.01
12 8 4.02
12 9 3.03
12 10 2.04
12 11 1.03
12 12 0.00
12 13 1.06
12 14 2.17
12 15 3.36
12 16 4.73
12 17 6.71
12 18 8.19
12 19 15.47
12 20 16.59
12 21 17.44
12 22 18.15
12 23 18.77
12 24 19.32
12 25 19.81
12 26 20.26
12 27 20.67
12 28 21.04
12 29 21.36
12 30 21.64
12 31 21.85
12 32 21.98
12 33 21.95
12 34 21.40
12 35 21.54
12 36 11.91
12 37 12.62
12 38 13.48
12 39 14.41
12 40 15.37
12 41 16.36
12 42 17.35
12 43 18.35
12 44 19.35
12 45 20.35
12 46 21.36
12 47 22.38
12 48 23.42
12 49 24.48
12 50 25.60
12 51 26.93
12 52 28.15
12 53 17.02
13 1 2.59
13 2 11.21
13 3 10.07
13 4 9.01
13 5 8.00
13 6 7.01
13 7 6.03
13 8 5.05
13 9 4.07
13 10 3.09
13 11 2.09
13 12 1.06
13 13 0.00
13 14 1.11
13 15 2.32
13 16 3.70
13 17 5.74
13 18 7.23
13 19 16.26
13 20 17.41
13 21 18.29
13 22 19.03
13 23 19.68
13 24 20.25
13 25 20.77
13 26 21.24
13 27 21.66
13 28 22.04
13 29 22.38
13 30 22.67
13 31 22.90
13 32 23.03
13 33 23.01
13 34 22.46
13 35 22.59
13 36 12.45
13 37 13.07
13 38 13.86
13 39 14.75
13 40 15.68
13 41 16.64
13 42 17.62
13 43 18.61
13 44 19.61
13 45 20.62
13 46 21.64
13 47 22.67
13 48 23.72
13 49 24.81
13 50 25.96
13 51 27.35
13 52 28.60
13 53 17.77
14 1 3.50
14 2 12.12
14 3 11.02
14 4 10.00
14 5 9.01
14 6 8.04
14 7 7.08
14 8 6.12
14 9 5.16
14 10 4.18
14 11 3.19
14 12 2.17
14 13 1.11
14 14 0.00
14 15 1.21
14 16 2.61
14 17 4.71
14 18 6.20
14 19 17.03
14 20 18.22
14 21 19.14
14 22 19.91
14 23 20.58
14 24 21.18
14 25 21.72
14 26 22.21
14 27 22.66
14 28 23.06
14 29 23.42
14 30 23.72
14 31 23.96
14 32 24.11
14 33 24.11
14 34 23.57
14 35 23.71
14 36 12.98
14 37 13.50
14 38 14.22
14 39 15.05
14 40 15.95
14 41 16.88
14 42 17.84
14 43 18.82
14 44 19.82
14 45 20.83
14 46 21.85
14 47 22.90
14 48 23.96
14 49 25.07
14 50 26.26
14 51 27.72
14 52 29.00
14 53 18.50
15 1 4.53
15 2 13.04
15 3 12.00
15 4 11.02
15 5 10.07
15 6 9.13
15 7 8.19
15 8 7.25
15 9 6.31
15 10 5.35
15 11 4.37
15 12 3.36
15 13 2.32
15 14 1.21
15 15 0.00
15 16 1.41
15 17 3.56
15 18 5.04
15 19 17.79
15 20 19.02
15 21 19.97
15 22 20.77
15 23 21.48
15 24 22.11
15 25 22.68
15 26 23.20
15 27 23.67
15 28 24.10
15 29 24.48
15 30 24.81
15 31 25.07
15 32 25.24
15 33 25.26
15 34 24.75
15 35 24.90
15 36 13.49
15 37 13.89
15 38 14.54
15 39 15.31
15 40 16.16
15 41 17.06
15 42 17.99
15 43 18.96
15 44 19.95
15 45 20.95
15 46 21.98
15 47 23.03
15 48 24.12
15 49 25.25
15 50 26.46
15 51 27.99
15 52 29.31
15 53 19.21
16 1 5.70
16 2 14.00
16 3 13.04
16 4 12.12
16 5 11.21
16 6 10.31
16 7 9.41
16 8 8.51
16 9 7.59
16 10 6.66
16 11 5.71
16 12 4.73
16 13 3.70
16 14 2.61
16 15 1.41
16 16 0.00
16 17 2.20
16 18 3.66
16 19 18.53
16 20 19.80
16 21 20.79
16 22 21.64
16 23 22.38
16 24 23.05
16 25 23.66
16 26 24.21
16 27 24.72
16 28 25.18
16 29 25.60
16 30 25.96
16 31 26.26
16 32 26.46
16 33 26.52
16 34 26.06
16 35 26.23
16 36 13.96
16 37 14.23
16 38 14.77
16 39 15.46
16 40 16.25
16 41 17.11
16 42 18.01
16 43 18.95
16 44 19.93
16 45 20.93
16 46 21.95
16 47 23.01
16 48 24.11
16 49 25.26
16 50 26.52
16 51 28.13
16 52 29.47
16 53 19.88
17 1 7.36
17 2 15.13
17 3 14.31
17 4 13.50
17 5 12.69
17 6 11.87
17 7 11.05
17 8 10.22
17 9 9.38
17 10 8.52
17 11 7.63
17 12 6.71
17 13 5.74
17 14 4.71
17 15 3.56
17 16 2.20
17 17 0.00
17 18 1.49
17 19 19.23
17 20 20.56
17 21 21.62
17 22 22.53
17 23 23.33
17 24 24.07
17 25 24.74
17 26 25.35
17 27 25.92
17 28 26.45
17 29 26.93
17 30 27.35
17 31 27.72
17 32 27.99
17 33 28.13
17 34 27.78
17 35 28.03
17 36 14.29
17 37 14.34
17 38 14.71
17 39 15.27
17 40 15.95
17 41 16.73
17 42 17.57
17 43 18.46
17 44 19.40
17 45 20.38
17 46 21.40
17 47 22.46
17 48 23.57
17 49 24.75
17 50 26.06
17 51 27.78
17 52 29.17
17 53 20.46
18 1 8.78
18 2 16.29
18 3 15.54
18 4 14.78
18 5 14.01
18 6 13.23
18 7 12.44
18 8 11.64
18 9 10.82
18 10 9.97
18 11 9.10
18 12 8.19
18 13 7.23
18 14 6.20
18 15 5.04
18 16 3.66
18 17 1.49
18 18 0.00
18 19 20.16
18 20 21.51
18 21 22.60
18 22 23.54
18 23 24.38
18 24 25.14
18 25 25.84
18 26 26.49
18 27 27.09
18 28 27.64
18 29 28.15
18 30 28.60
18 31 29.00
18 32 29.31
18 33 29.47
18 34 29.17
18 35 29.44
18 36 15.04
18 37 14.97
18 38 15.23
18 39 15.70
18 40 16.31
18 41 17.02
18 42 17.81
18 43 18.66
18 44 19.57
18 45 20.53
18 46 21.54
18 47 22.59
18 48 23.71
18 49 24.90
18 50 26.23
18 51 28.03
18 52 29.44
18 53 21.32
19 1 13.69
19 2 5.58
19 3 6.99
19 4 8.18
19 5 9.26
19 6 10.27
19 7 11.21
19 8 12.12
19 9 12.99
19 10 13.84
19 11 14.66
19 12 15.47
19 13 16.26
19 14 17.03
19 15 17.79
19 16 18.53
19 17 19.23
19 18 20.16
19 19 0.00
19 20 1.41
19 21 2.61
19 22 3.70
19 23 4.73
19 24 5.71
19 25 6.66
19 26 7.59
19 27 8.51
19 28 9.41
19 29 10.31
19 30 11.21
19 31 12.12
19 32 13.04
19 33 14.00
19 34 15.13
19 35 16.29
19 36 5.58
19 37 6.45
19 38 7.18
19 39 7.84
19 40 8.47
19 41 9.07
19 42 9.66
19 43 10.23
19 44 10.80
19 45 11.36
19 46 11.91
19 47 12.45
19 48 12.98
19 49 13.49
19 50 13.96
19 51 14.28
19 52 15.04
19 53 1.73
20 1 14.83
20 2 6.45
20 3 7.83
20 4 9.04
20 5 10.14
20 6 11.18
20 7 12.16
20 8 13.10
20 9 14.01
20 10 14.89
20 11 15.75
20 12 16.59
20 13 17.41
20 14 18.22
20 15 19.02
20 16 19.80
20 17 20.56
20 18 21.51
20 19 1.41
20 20 0.00
20 21 1.21
20 22 2.32
20 23 3.36
20 24 4.37
20 25 5.35
20 26 6.31
20 27 7.25
20 28 8.19
20 29 9.13
20 30 10.07
20 31 11.02
20 32 12.00
20 33 13.04
20 34 14.31
20 35 15.54
20 36 6.99
20 37 7.83
20 38 8.51
20 39 9.11
20 40 9.66
20 41 10.19
20 42 10.70
20 43 11.20
20 44 11.68
20 45 12.16
20 46 12.62
20 47 13.07
20 48 13.50
20 49 13.89
20 50 14.23
20 51 14.34
20 52 14.97
20 53 1.75
21 1 15.71
21 2 7.18
21 3 8.51
21 4 9.71
21 5 10.82
21 6 11.87
21 7 12.87
21 8 13.84
21 9 14.77
21 10 15.68
21 11 16.57
21 12 17.44
21 13 18.29
21 14 19.14
21 15 19.97
21 16 20.79
21 17 21.62
21 18 22.60
21 19 2.61
21 20 1.21
21 21 0.00
21 22 1.11
21 23 2.17
21 24 3.19
21 25 4.18
21 26 5.16
21 27 6.12
21 28 7.08
21 29 8.04
21 30 9.01
21 31 10.00
21 32 11.02
21 33 12.12
21 34 13.50
21 35 14.78
21 36 8.18
21 37 9.04
21 38 9.71
21 39 10.29
21 40 10.81
21 41 11.30
21 42 11.77
21 43 12.22
21 44 12.66
21 45 13.08
21 46 13.48
21 47 13.86
21 48 14.22
21 49 14.54
21 50 14.77
21 51 14.71
21 52 15.23
21 53 2.64
22 1 16.45
22 2 7.84
22 3 9.11
22 4 10.29
22 5 11.40
22 6 12.46
22 7 13.47
22 8 14.46
22 9 15.41
22 10 16.34
22 11 17.25
22 12 18.15
22 13 19.03
22 14 19.91
22 15 20.77
22 16 21.64
22 17 22.53
22 18 23.54
22 19 3.70
22 20 2.32
22 21 1.11
22 22 0.00
22 23 1.06
22 24 2.09
22 25 3.09
22 26 4.07
22 27 5.05
22 28 6.03
22 29 7.01
22 30 8.00
22 31 9.01
22 32 10.07
22 33 11.21
22 34 12.69
22 35 14.01
22 36 9.26
22 37 10.14
22 38 10.82
22 39 11.40
22 40 11.91
22 41 12.39
22 42 12.84
22 43 13.26
22 44 13.66
22 45 14.05
22 46 14.41
22 47 14.75
22 48 15.05
22 49 15.31
22 50 15.46
22 51 15.27
22 52 15.70
22 53 3.68
23 1 17.10
23 2 8.47
23 3 9.66
23 4 10.81
23 5 11.91
23 6 12.97
23 7 14.00
23 8 14.99
23 9 15.97
23 10 16.92
23 11 17.85
23 12 18.77
23 13 19.68
23 14 20.58
23 15 21.48
23 16 22.38
23 17 23.33
23 18 24.38
23 19 4.73
23 20 3.36
23 21 2.17
23 22 1.06
23 23 0.00
23 24 1.03
23 25 2.04
23 26 3.03
23 27 4.02
23 28 5.01
23 29 6.00
23 30 7.01
23 31 8.04
23 32 9.13
23 33 10.31
23 34 11.88
23 35 13.23
23 36 10.27
23 37 11.18
23 38 11.87
23 39 12.46
23 40 12.97
23 41 13.44
23 42 13.88
23 43 14.29
23 44 14.68
23 45 15.04
23 46 15.37
23 47 15.68
23 48 15.95
23 49 16.16
23 50 16.25
23 51 15.95
23 52 16.31
23 53 4.73
24 1 17.68
24 2 9.07
24 3 10.19
24 4 11.30
24 5 12.39
24 6 13.45
24 7 14.47
24 8 15.48
24 9 16.46
24 10 17.43
24 11 18.38
24 12 19.32
24 13 20.25
24 14 21.18
24 15 22.11
24 16 23.05
24 17 24.07
24 18 25.14
24 19 5.71
24 20 4.37
24 21 3.19
24 22 2.09
24 23 1.03
24 24 0.00
24 25 1.01
24 26 2.01
24 27 3.00
24 28 4.00
24 29 5.01
24 30 6.03
24 31 7.08
24 32 8.19
24 33 9.41
24 34 11.05
24 35 12.44
24 36 11.21
24 37 12.16
24 38 12.87
24 39 13.47
24 40 14.00
24 41 14.47
24 42 14.91
24 43 15.31
24 44 15.69
24 45 16.04
24 46 16.36
24 47 16.64
24 48 16.88
24 49 17.06
24 50 17.11
24 51 16.73
24 52 17.02
24 53 5.76
25 1 18.22
25 2 9.66
25 3 10.70
25 4 11.77
25 5 12.84
25 6 13.88
25 7 14.91
25 8 15.92
25 9 16.91
25 10 17.89
25 11 18.86
25 12 19.81
25 13 20.77
25 14 21.72
25 15 22.68
25 16 23.66
25 17 24.74
25 18 25.84
25 19 6.66
25 20 5.35
25 21 4.18
25 22 3.09
25 23 2.04
25 24 1.01
25 25 0.00
25 26 1.00
25 27 2.00
25 28 3.00
25 29 4.02
25 30 5.05
25 31 6.12
25 32 7.25
25 33 8.51
25 34 10.22
25 35 11.64
25 36 12.12
25 37 13.10
25 38 13.84
25 39 14.46
25 40 14.99
25 41 15.48
25 42 15.92
25 43 16.32
25 44 16.70
25 45 17.04
25 46 17.35
25 47 17.62
25 48 17.84
25 49 18.00
25 50 18.01
25 51 17.57
25 52 17.81
25 53 6.77
26 1 18.71
26 2 10.23
26 3 11.20
26 4 12.22
26 5 13.26
26 6 14.29
26 7 15.31
26 8 16.32
26 9 17.32
26 10 18.31
26 11 19.29
26 12 20.26
26 13 21.24
26 14 22.21
26 15 23.20
26 16 24.21
26 17 25.35
26 18 26.49
26 19 7.59
26 20 6.31
26 21 5.16
26 22 4.07
26 23 3.03
26 24 2.01
26 25 1.00
26 26 0.00
26 27 1.00
26 28 2.01
26 29 3.03
26 30 4.07
26 31 5.16
26 32 6.31
26 33 7.59
26 34 9.38
26 35 10.82
26 36 12.99
26 37 14.01
26 38 14.77
26 39 15.41
26 40 15.97
26 41 16.46
26 42 16.91
26 43 17.32
26 44 17.70
26 45 18.04
26 46 18.34
26 47 18.61
26 48 18.82
26 49 18.96
26 50 18.95
26 51 18.46
26 52 18.66
26 53 7.76
27 1 19.16
27 2 10.80
27 3 11.68
27 4 12.66
27 5 13.66
27 6 14.68
27 7 15.69
27 8 16.70
27 9 17.70
27 10 18.69
27 11 19.68
27 12 20.67
27 13 21.66
27 14 22.66
27 15 23.67
27 16 24.72
27 17 25.92
27 18 27.09
27 19 8.51
27 20 7.25
27 21 6.12
27 22 5.05
27 23 4.02
27 24 3.00
27 25 2.00
27 26 1.00
27 27 0.00
27 28 1.01
27 29 2.03
27 30 3.09
27 31 4.18
27 32 5.35
27 33 6.66
27 34 8.52
27 35 9.97
27 36 13.84
27 37 14.89
27 38 15.68
27 39 16.34
27 40 16.92
27 41 17.43
27 42 17.89
27 43 18.31
27 44 18.69
27 45 19.04
27 46 19.35
27 47 19.61
27 48 19.82
27 49 19.95
27 50 19.93
27 51 19.40
27 52 19.57
27 53 8.74
28 1 19.57
28 2 11.36
28 3 12.16
28 4 13.08
28 5 14.05
28 6 15.04
28 7 16.04
28 8 17.04
28 9 18.04
28 10 19.04
28 11 20.04
28 12 21.04
28 13 22.04
28 14 23.06
28 15 24.10
28 16 25.18
28 17 26.45
28 18 27.64
28 19 9.41
28 20 8.19
28 21 7.08
28 22 6.03
28 23 5.01
28 24 4.00
28 25 3.00
28 26 2.01
28 27 1.01
28 28 0.00
28 29 1.03
28 30 2.09
28 31 3.19
28 32 4.37
28 33 5.71
28 34 7.63
28 35 9.10
28 36 14.66
28 37 15.75
28 38 16.57
28 39 17.25
28 40 17.85
28 41 18.38
28 42 18.86
28 43 19.29
28 44 19.68
28 45 20.04
28 46 20.35
28 47 20.62
28 48 20.83
28 49 20.95
28 50 20.93
28 51 20.38
28 52 20.53
28 53 9.71
29 1 19.95
29 2 11.91
29 3 12.62
29 4 13.48
29 5 14.41
29 6 15.37
29 7 16.36
29 8 17.35
29 9 18.34
29 10 19.35
29 11 20.35
29 12 21.36
29 13 22.38
29 14 23.42
29 15 24.48
29 16 25.60
29 17 26.93
29 18 28.15
29 19 10.31
29 20 9.13
29 21 8.04
29 22 7.01
29 23 6.00
29 24 5.01
29 25 4.02
29 26 3.03
29 27 2.03
29 28 1.03
29 29 0.00
29 30 1.06
29 31 2.17
29 32 3.36
29 33 4.73
29 34 6.71
29 35 8.19
29 36 15.47
29 37 16.58
29 38 17.44
29 39 18.15
29 40 18.77
29 41 19.32
29 42 19.81
29 43 20.26
29 44 20.67
29 45 21.04
29 46 21.36
29 47 21.64
29 48 21.85
29 49 21.98
29 50 21.95
29 51 21.40
29 52 21.54
29 53 10.68
30 1 20.28
30 2 12.45
30 3 13.07
30 4 13.86
30 5 14.75
30 6 15.68
30 7 16.64
30 8 17.62
30 9 18.61
30 10 19.61
30 11 20.62
30 12 21.64
30 13 22.67
30 14 23.72
30 15 24.81
30 16 25.96
30 17 27.35
30 18 28.60
30 19 11.21
30 20 10.07
30 21 9.01
30 22 8.00
30 23 7.01
30 24 6.03
30 25 5.05
30 26 4.07
30 27 3.09
30 28 2.09
30 29 1.06
30 30 0.00
30 31 1.11
30 32 2.32
30 33 3.70
30 34 5.74
30 35 7.23
30 36 16.26
30 37 17.41
30 38 18.29
30 39 19.03
30 40 19.68
30 41 20.25
30 42 20.77
30 43 21.24
30 44 21.66
30 45 22.04
30 46 22.38
30 47 22.67
30 48 22.90
30 49 23.03
30 50 23.01
30 51 22.46
30 52 22.59
30 53 11.66
31 1 20.56
31 2 12.98
31 3 13.50
31 4 14.22
31 5 15.05
31 6 15.95
31 7 16.88
31 8 17.84
31 9 18.82
31 10 19.82
31 11 20.83
31 12 21.85
31 13 22.90
31 14 23.96
31 15 25.07
31 16 26.26
31 17 27.72
31 18 29.00
31 19 12.12
31 20 11.02
31 21 10.00
31 22 9.01
31 23 8.04
31 24 7.08
31 25 6.12
31 26 5.16
31 27 4.18
31 28 3.19
31 29 2.17
31 30 1.11
31 31 0.00
31 32 1.21
31 33 2.61
31 34 4.71
31 35 6.20
31 36 17.03
31 37 18.22
31 38 19.14
31 39 19.91
31 40 20.58
31 41 21.18
31 42 21.72
31 43 22.21
31 44 22.66
31 45 23.06
31 46 23.42
31 47 23.72
31 48 23.96
31 49 24.12
31 50 24.11
31 51 23.57
31 52 23.71
31 53 12.64
32 1 20.76
32 2 13.49
32 3 13.89
32 4 14.54
32 5 15.31
32 6 16.16
32 7 17.06
